"Timestamp","DOI","IP identifier","User identifier","Country according to GeoIP","City according to GeoIP","Latitude","Longitude"
"2017-07-13 04:02:47","10.1093/beheco/arx008",6476470,20716025,"Canada","Squamish","49.7016339","-123.1558121"
"2017-05-03 15:28:06","10.1021/jp809992g",1358764,9325334,"Canada","Toronto","43.653226","-79.3831843"
"2017-06-07 21:26:31","10.1007/s11191-013-9647-9",8059942,13931938,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 10:15:52","10.1021/jp809992g",873107,9289359,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-12 23:18:51","10.1002/pen.760280404",5999878,28920616,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 21:56:28","10.1002/anie.201605430",3419910,9368678,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-09 08:58:44","10.1063/1.4913415",5994768,19895488,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-11 16:13:22","10.1246/cl.1986.369",5999266,34129104,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-26 08:33:50","10.2307/1547968",4596077,6738678,"Canada","Calgary","51.0486151","-114.0708459"
"2017-05-18 23:46:29","10.1177/0013164495055005017",195693,11427384,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-09 16:44:06","10.1038/nature18309",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-30 15:13:59","10.1145/954587.954588",11962933,32202223,"Canada","Montréal","45.5016889","-73.567256"
"2017-06-02 03:43:38","10.1002/wcc.81",7768986,13170620,"Canada","Orillia","44.6082465","-79.4196783"
"2017-08-20 23:07:44","10.1093/beheco/arx008",7898046,30284004,"Canada","Squamish","49.7016339","-123.1558121"
"2017-09-12 01:16:26","10.1246/bcsj.49.2384",7706586,34183222,"Canada","Saint-Quentin","47.5119159","-67.3921287"
"2017-05-03 22:33:04","10.1002/anie.201605430",1201085,9372103,"Canada","Toronto","43.653226","-79.3831843"
"2017-02-25 03:54:01","10.1016/S2214-109X(16)30188-7",2996072,4373865,"Canada","Coquitlam","49.3943688","-122.7427908"
"2017-03-12 18:19:44","10.1038/nature18309",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-23 22:23:05","10.2307/1917139",10,2011090,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-29 16:50:48","10.1021/jp055225g",7706586,37506725,"Canada","Saint-Quentin","47.5119159","-67.3921287"
